Name,Image URL,Product URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume,
Corsair 4000D Airflow,//cdna.pcpartpicker.com/static/forever/images/product/bc6e987da3fe22c616898d1d7fa3d227.256p.jpg,https://pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww,$104.99 ,Corsair,CC-9011200-WW,ATX Mid Tower,Black,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","360 mm / 14.173""","2 x Internal 3.5"", 2 x Internal 2.5""","7 x Full-Height, 2 x Full-Height via Riser","453 mm x 230 mm x 466 mm, 17.835"" x 9.055"" x 18.346""","48.553 L, 1.715 ft³",
NZXT H5 Flow,//cdna.pcpartpicker.com/static/forever/images/product/84cb77175187296029f50f8bf6ca6960.256p.jpg,https://pcpartpicker.com/product/RY4Ycf/nzxt-h5-flow-atx-mid-tower-case-cc-h51fb-01,$94.99 ,NZXT,CC-H51FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","365 mm / 14.37""","1 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"446 mm x 227 mm x 464 mm, 17.559"" x 8.937"" x 18.268""","46.976 L, 1.659 ft³",
NZXT H9 Flow,//cdna.pcpartpicker.com/static/forever/images/product/61eb5534e35ce8af07f25ff28197862b.256p.jpg,https://pcpartpicker.com/product/7ZBG3C/nzxt-h9-flow-atx-mid-tower-case-cm-h91fw-01,$159.99 ,NZXT,CM-H91FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³",
NZXT H9 Flow,//cdna.pcpartpicker.com/static/forever/images/product/15fb785fb4d0995e7cc7e28a6f2271d9.256p.jpg,https://pcpartpicker.com/product/VCpzK8/nzxt-h9-flow-atx-mid-tower-case-cm-h91fb-01,$154.99 ,NZXT,CM-H91FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"466 mm x 290 mm x 495 mm, 18.346"" x 11.417"" x 19.488""","66.894 L, 2.362 ft³",
Montech AIR 903 MAX,https://m.media-amazon.com/images/I/519WrOWiOhL.jpg,https://pcpartpicker.com/product/2MwmP6/montech-air-903-max-atx-mid-tower-case-air-903-max-b,$75.00 ,Montech,"AIR 903 MAX (B), AIR 903 MAX B, AIR 903 MAX BLACK",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"478 mm x 230 mm x 493 mm, 18.819"" x 9.055"" x 19.409""","54.2 L, 1.914 ft³",
NZXT H6 Flow,//cdna.pcpartpicker.com/static/forever/images/product/f0363dfe4d946330b9b5f65a3b38722f.256p.jpg,https://pcpartpicker.com/product/8QMMnQ/nzxt-h6-flow-atx-mid-tower-case-cc-h61fw-01,$109.99 ,NZXT,CC-H61FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³",
Cooler Master MasterBox Q300L,//cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg,https://pcpartpicker.com/product/rnGxFT/cooler-master-masterbox-q300l-microatx-mini-tower-case-mcb-q300l-kann-s00,$46.98 ,Cooler Master,MCB-Q300L-KANN-S00,MicroATX Mini Tower,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","360 mm / 14.173""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"387 mm x 230 mm x 378 mm, 15.236"" x 9.055"" x 14.882""","33.646 L, 1.188 ft³",
NZXT H6 Flow,//cdna.pcpartpicker.com/static/forever/images/product/0ff9e0317d9c4b1e99938a2f02ccb165.256p.jpg,https://pcpartpicker.com/product/xgKscf/nzxt-h6-flow-atx-mid-tower-case-cc-h61fb-01,$101.29 ,NZXT,CC-H61FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³",
Montech X3 Mesh,//cdna.pcpartpicker.com/static/forever/images/product/9e7790ee9397346b4c023cc04296fb5e.256p.jpg,https://pcpartpicker.com/product/HRH7YJ/montech-x3-mesh-atx-mid-tower-case-x3-mesh-black,$64.98 ,Montech,"X3 Mesh Black, C004, X3 MESH BK, C21005160001",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","305 mm / 12.008""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,,
Montech AIR 100 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/24adca630b5c708e106099fc958825a1.256p.jpg,https://pcpartpicker.com/product/M7Z9TW/montech-air-100-argb-microatx-mid-tower-case-air-100-argb-black,,Montech,"AIR 100 ARGB Black, K005, AIR-100-ARGB-BK, K21004160003, AIR 100 ARGB (B)",MicroATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","330 mm / 12.992""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"405 mm x 210 mm x 425 mm, 15.945"" x 8.268"" x 16.732""","36.146 L, 1.276 ft³",
Fractal Design North,//cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg,https://pcpartpicker.com/product/ybNxFT/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-02,$139.99 ,Fractal Design,FD-C-NOR1C-02,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","300 mm / 11.811"" With Drive Cages, 355 mm / 13.976"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"447 mm x 215 mm x 469 mm, 17.598"" x 8.465"" x 18.465""","45.073 L, 1.592 ft³",
NZXT H6 Flow RGB,//cdna.pcpartpicker.com/static/forever/images/product/21f390a2caf255ac942d9f4d4899adee.256p.jpg,https://pcpartpicker.com/product/kfRwrH/nzxt-h6-flow-rgb-atx-mid-tower-case-cc-h61fw-r1,$132.99 ,NZXT,CC-H61FW-R1,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³",
Phanteks XT PRO,//cdna.pcpartpicker.com/static/forever/images/product/4beb27272519c97f098ceab48df1e12c.256p.jpg,https://pcpartpicker.com/product/zJWJ7P/phanteks-xt-pro-atx-mid-tower-case-ph-xt523p1-bk01,$49.99 ,Phanteks,PH-XT523P1-BK01,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","415 mm / 16.339""","2 x Internal 3.5""",7 x Full-Height,"450 mm x 230 mm x 500 mm, 17.717"" x 9.055"" x 19.685""","51.75 L, 1.828 ft³",
Lian Li O11 Dynamic EVO,//cdna.pcpartpicker.com/static/forever/images/product/ea0dee3c3376cc6326ca2f4a73a054ac.256p.jpg,https://pcpartpicker.com/product/4cPQzy/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11dew,$234.15 ,Lian Li,"PC-O11DEW, O11DEW",ATX Mid Tower,White / Gray,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","422 mm / 16.614""","6 x Internal 3.5"", 3 x Internal 2.5""",8 x Full-Height,"465 mm x 285 mm x 459 mm, 18.307"" x 11.22"" x 18.071""","60.829 L, 2.148 ft³",
Phanteks XT PRO ULTRA,//cdna.pcpartpicker.com/static/forever/images/product/b799e3113602fc415370943709415190.256p.jpg,https://pcpartpicker.com/product/BXtLrH/phanteks-xt-pro-ultra-atx-mid-tower-case-ph-xt523p1-dbk01,$69.99 ,Phanteks,PH-XT523P1-DBK01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","415 mm / 16.339""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"450 mm x 230 mm x 500 mm, 17.717"" x 9.055"" x 19.685""","51.75 L, 1.828 ft³",
Lian Li LANCOOL 216,//cdna.pcpartpicker.com/static/forever/images/product/372a584cebeca5f57266bf0f07e6831c.256p.jpg,https://pcpartpicker.com/product/KKytt6/lian-li-lancool-216-atx-mid-tower-case-lancool-216rx,$99.99 ,Lian Li,"LANCOOL 216RX, G99.LAN216RX.00, PC-LAN216RX",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","392 mm / 15.433""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"480.9 mm x 235 mm x 491.7 mm, 18.933"" x 9.252"" x 19.358""","55.568 L, 1.962 ft³",
Deepcool CH370,//cdna.pcpartpicker.com/static/forever/images/product/2fad46b6561866155338a1cd7afa4712.256p.jpg,https://pcpartpicker.com/product/mhC48d/deepcool-ch370-microatx-mid-tower-case-r-ch370-bknam1-g-1,$59.41 ,Deepcool,"R-CH370-BKNAM1-G-1, CH370",MicroATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","320 mm / 12.598""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"413 mm x 215 mm x 431 mm, 16.26"" x 8.465"" x 16.969""","38.271 L, 1.352 ft³",
Silverstone ALTA F2,//cdna.pcpartpicker.com/static/forever/images/product/4ff42fa090d41392739d099e28baf56f.256p.jpg,https://pcpartpicker.com/product/wsvD4D/silverstone-alta-f2-atx-full-tower-case-sst-alf2b-g,$999.99 ,Silverstone,SST-ALF2B-G,ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB, XL ATX","604 mm / 23.78""","8 x Internal 3.5"", 3 x Internal 2.5""","9 x Full-Height, 4 x Full-Height via Riser","658 mm x 261 mm x 576 mm, 25.906"" x 10.276"" x 22.677""","98.921 L, 3.493 ft³",
Deepcool CC560 V2,//cdna.pcpartpicker.com/static/forever/images/product/b4eee8314bb582edeb59eef06376bf4c.256p.jpg,https://pcpartpicker.com/product/tHLdnQ/deepcool-cc560-v2-atx-mid-tower-case-r-cc560-bkgaa4-g-2,$59.99 ,Deepcool,"R-CC560-BKGAA4-G-2, CC560 V2, CC560 V2-AMAZON",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","370 mm / 14.567""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"432 mm x 215 mm x 483 mm, 17.008"" x 8.465"" x 19.016""","44.861 L, 1.584 ft³",
Deepcool MATREXX 40,//cdna.pcpartpicker.com/static/forever/images/product/b32fb28bca9fb6780a07e11767da9f38.256p.jpg,https://pcpartpicker.com/product/LqPQzy/deepcool-matrexx-40-microatx-mini-tower-case-dp-matx-matrexx40,$54.99 ,Deepcool,"DP-MATX-MATREXX40, MATREXX 40",MicroATX Mini Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","320 mm / 12.598""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,,,
NZXT H5 Flow,//cdna.pcpartpicker.com/static/forever/images/product/6c58fbf47cba2aca9c9a56ff028fe5d9.256p.jpg,https://pcpartpicker.com/product/92pzK8/nzxt-h5-flow-atx-mid-tower-case-cc-h51fw-01,$92.99 ,NZXT,CC-H51FW-01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","365 mm / 14.37""","1 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"446 mm x 227 mm x 464 mm, 17.559"" x 8.937"" x 18.268""","46.976 L, 1.659 ft³",
NZXT H6 Flow RGB,//cdna.pcpartpicker.com/static/forever/images/product/36fe212ae1df2ee3ea86f193354e27fb.256p.jpg,https://pcpartpicker.com/product/rM26Mp/nzxt-h6-flow-rgb-atx-mid-tower-case-cc-h61fb-r1,$134.99 ,NZXT,CC-H61FB-R1,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 2.5"", 1 x Internal 3.5""",7 x Full-Height,"415 mm x 287 mm x 435 mm, 16.339"" x 11.299"" x 17.126""","51.811 L, 1.83 ft³",
Montech AIR 903 BASE,https://m.media-amazon.com/images/I/51HK6wbkmnL.jpg,https://pcpartpicker.com/product/kKcgXL/montech-air-903-base-atx-mid-tower-case-air-903-base-b,$65.00 ,Montech,"AIR 903 BASE (B), AIR 903 BASE B",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"478 mm x 230 mm x 493 mm, 18.819"" x 9.055"" x 19.409""","54.2 L, 1.914 ft³",
Lian Li O11 Vision,//cdna.pcpartpicker.com/static/forever/images/product/71a5af072d1ec085a7f8efc90cc895ba.256p.jpg,https://pcpartpicker.com/product/Jk7scf/lian-li-o11-vision-atx-mid-tower-case-pc-o11vx,$129.99 ,Lian Li,"PC-O11VX, O11VX, G99.O11VX.00",ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","455 mm / 17.913""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"480 mm x 304 mm x 464.5 mm, 18.898"" x 11.969"" x 18.287""","67.78 L, 2.394 ft³",
Corsair 3000D AIRFLOW,//cdna.pcpartpicker.com/static/forever/images/product/586841ed9160739668a55d1321c9494e.256p.jpg,https://pcpartpicker.com/product/NcRwrH/corsair-3000d-airflow-atx-mid-tower-case-cc-9011251-ww,$84.99 ,Corsair,CC-9011251-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","360 mm / 14.173""","2 x Internal 2.5"", 2 x Internal 3.5""",7 x Full-Height,"462 mm x 230 mm x 466 mm, 18.189"" x 9.055"" x 18.346""","49.517 L, 1.749 ft³",
Fractal Design Pop Air RGB,//cdna.pcpartpicker.com/static/forever/images/product/afcf290a91379b52360c7db562567b6f.256p.jpg,https://pcpartpicker.com/product/mpcG3C/fractal-design-pop-air-rgb-atx-mid-tower-case-fd-c-por1a-06,$89.97 ,Fractal Design,FD-C-POR1A-06,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","405 mm / 15.945""","2 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"473.5 mm x 215 mm x 454 mm, 18.642"" x 8.465"" x 17.874""","46.218 L, 1.632 ft³",
Corsair 5000D AIRFLOW,//cdna.pcpartpicker.com/static/forever/images/product/5bdc5f23827be3a0b7b72fa424fd437e.256p.jpg,https://pcpartpicker.com/product/PWn8TW/corsair-5000d-airflow-atx-mid-tower-case-cc-9011210-ww,$159.99 ,Corsair,CC-9011210-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","420 mm / 16.535""","2 x Internal 3.5"", 4 x Internal 2.5""","7 x Full-Height, 2 x Full-Height via Riser","520 mm x 245 mm x 520 mm, 20.472"" x 9.646"" x 20.472""","66.248 L, 2.34 ft³",
Montech KING 95 PRO,//cdna.pcpartpicker.com/static/forever/images/product/6e645766ef331a1911f2c74016db9efa.256p.jpg,https://pcpartpicker.com/product/7qQKHx/montech-king-95-pro-atx-mid-tower-case-king-95-pro-black,$149.00 ,Montech,"KING 95 PRO (Black), KING 95 PRO (B), KING95PROB",ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 1 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","420 mm / 16.535""","5 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"475 mm x 300 mm x 442 mm, 18.701"" x 11.811"" x 17.402""","62.985 L, 2.224 ft³",
NZXT H7 Flow,//cdna.pcpartpicker.com/static/forever/images/product/bec2a61865de879aa69df53f51b10e56.256p.jpg,https://pcpartpicker.com/product/c7jBD3/nzxt-h7-flow-atx-mid-tower-case-cm-h71fb-01,$129.99 ,NZXT,CM-H71FB-01,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"480 mm x 230 mm x 505 mm, 18.898"" x 9.055"" x 19.882""","55.752 L, 1.969 ft³",
Asus Prime AP201,//cdna.pcpartpicker.com/static/forever/images/product/e40d8d2f2651fa6faca4e0a4552f8545.256p.jpg,https://pcpartpicker.com/product/fPZ9TW/asus-prime-ap201-microatx-mini-tower-case-ap201blkmesh,$79.99 ,Asus,"AP201/BLK/MESH//, 90DC00G0-B38000, PRIME-AP201-BK, 90DC00G0-B39000",MicroATX Mini Tower,Black,None,Mesh,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","338 mm / 13.307""","3 x Internal 3.5"", 1 x Internal 2.5""",4 x Full-Height,"350 mm x 205 mm x 460 mm, 13.78"" x 8.071"" x 18.11""","33.005 L, 1.166 ft³",
Cooler Master MasterBox NR200,//cdna.pcpartpicker.com/static/forever/images/product/d31150b26d756cc5e2221e63f264e8d6.256p.jpg,https://pcpartpicker.com/product/kd2bt6/cooler-master-masterbox-nr200-mini-itx-desktop-case-mcb-nr200-knnn-s00,,Cooler Master,MCB-NR200-KNNN-S00,Mini ITX Desktop,Black,None,None,No,USB 3.2 Gen 1 Type-A,"Mini ITX, Mini DTX","330 mm / 12.992""","2 x Internal 3.5"", 1 x Internal 2.5""",3 x Full-Height,,,
Fractal Design Pop Mini Air,//cdna.pcpartpicker.com/static/forever/images/product/6bd2cbaf780aea720a3b8a53d80ce635.256p.jpg,https://pcpartpicker.com/product/gx3gXL/fractal-design-pop-mini-air-microatx-mid-tower-case-fd-c-por1m-06,$89.97 ,Fractal Design,FD-C-POR1M-06,MicroATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","365 mm / 14.37""","2 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"432 mm x 215 mm x 393 mm, 17.008"" x 8.465"" x 15.472""","36.502 L, 1.289 ft³",
Corsair 4000D Airflow,//cdna.pcpartpicker.com/static/forever/images/product/ef83ac7b40f303152fbb47b6db45c9ca.256p.jpg,https://pcpartpicker.com/product/WBVG3C/corsair-4000d-airflow-atx-mid-tower-case-cc-9011201-ww,$104.99 ,Corsair,CC-9011201-WW,ATX Mid Tower,White,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","360 mm / 14.173""","2 x Internal 3.5"", 2 x Internal 2.5""","7 x Full-Height, 2 x Full-Height via Riser","453 mm x 230 mm x 466 mm, 17.835"" x 9.055"" x 18.346""","48.553 L, 1.715 ft³",
Lian Li O11D EVO RGB,//cdna.pcpartpicker.com/static/forever/images/product/97f123a53cbb3ce24652396462da17d1.256p.jpg,https://pcpartpicker.com/product/qrXV3C/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbx,$159.99 ,Lian Li,"O11DERGBX, G99.O11DERGBX.00",ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 1 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","455.7 mm / 17.941""","4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"478 mm x 290 mm x 471 mm, 18.819"" x 11.417"" x 18.543""","65.29 L, 2.306 ft³",
Corsair iCUE 4000X RGB,//cdna.pcpartpicker.com/static/forever/images/product/0610d363ccccf52837f07d811e4eb2a3.256p.jpg,https://pcpartpicker.com/product/6qFKHx/corsair-icue-4000x-rgb-atx-mid-tower-case-cc-9011204-ww,$119.99 ,Corsair,CC-9011204-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","360 mm / 14.173""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"453 mm x 230 mm x 466 mm, 17.835"" x 9.055"" x 18.346""","48.553 L, 1.715 ft³",
Lian Li O11 Dynamic Mini Snow Edition,//cdna.pcpartpicker.com/static/forever/images/product/91f3a2e4fceb6126dec75339fb657a14.256p.jpg,https://pcpartpicker.com/product/PgbTwP/lian-li-o11-dynamic-mini-snow-edition-atx-mid-tower-case-o11d-mini-s,$119.99 ,Lian Li,"O11D MINI-S, G99.O11DMI-S.00",ATX Mid Tower,White,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","370 mm / 14.567""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"420 mm x 269.5 mm x 380 mm, 16.535"" x 10.61"" x 14.961""","43.012 L, 1.519 ft³",
Fractal Design North XL,//cdna.pcpartpicker.com/static/forever/images/product/de8d089eec0681bef6c59b47f908e2ef.256p.jpg,https://pcpartpicker.com/product/Gd26Mp/fractal-design-north-xl-atx-full-tower-case-fd-c-nor1x-02,$179.99 ,Fractal Design,FD-C-NOR1X-02,ATX Full Tower,Black,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","380 mm / 14.961"" With Drive Cages, 413 mm / 16.26"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"503 mm x 240 mm x 509 mm, 19.803"" x 9.449"" x 20.039""","61.446 L, 2.17 ft³",
Montech KING 95 PRO,//cdna.pcpartpicker.com/static/forever/images/product/43dffde8ebf1330791a7443748af3853.256p.jpg,https://pcpartpicker.com/product/VTqrxr/montech-king-95-pro-atx-mid-tower-case-king-95-pro-white,$159.00 ,Montech,"KING 95 PRO (White), KING 95 PRO (W), KING95PROW",ATX Mid Tower,White,None,Tempered Glass,No,"USB 3.2 Gen 1 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","420 mm / 16.535""","5 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"475 mm x 300 mm x 442 mm, 18.701"" x 11.811"" x 17.402""","62.985 L, 2.224 ft³",
HYTE Y70 Touch,//cdna.pcpartpicker.com/static/forever/images/product/688dd181f588292ed74b3404093c6377.256p.jpg,https://pcpartpicker.com/product/dYwmP6/hyte-y70-touch-atx-mid-tower-case-cs-hyte-y70-b-l,$359.99 ,HYTE,CS-HYTE-Y70-B-L,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","390 mm / 15.354""","2 x Internal 3.5""","7 x Half-Height, 4 x Full-Height via Riser","470 mm x 320 mm x 470 mm, 18.504"" x 12.598"" x 18.504""","70.688 L, 2.496 ft³",
Lian Li O11 Dynamic EVO,https://m.media-amazon.com/images/I/41EN5WjnfyL.jpg,https://pcpartpicker.com/product/Ykytt6/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11dex,,Lian Li,"PC-O11DEX, O11DEX",ATX Mid Tower,Black,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","422 mm / 16.614""","6 x Internal 3.5"", 3 x Internal 2.5""",8 x Full-Height,"465 mm x 285 mm x 459 mm, 18.307"" x 11.22"" x 18.071""","60.829 L, 2.148 ft³",
Montech AIR 903 MAX,https://m.media-amazon.com/images/I/51n9PwnRsWL.jpg,https://pcpartpicker.com/product/bQGhP6/montech-air-903-max-atx-mid-tower-case-air-903-max-w,$72.98 ,Montech,"AIR 903 MAX (W), AIR 903 MAX W",ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"478 mm x 230 mm x 493 mm, 18.819"" x 9.055"" x 19.409""","54.2 L, 1.914 ft³",
Lian Li O11 Dynamic EVO XL,//cdna.pcpartpicker.com/static/forever/images/product/1ec7a3be51497aa3abf33c2afcdbf5d0.256p.jpg,https://pcpartpicker.com/product/jwDQzy/lian-li-o11-dynamic-evo-xl-atx-full-tower-case-o11dexl-x,$231.99 ,Lian Li,O11DEXL-X,ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","460 mm / 18.11""","4 x Internal 3.5"", 3 x Internal 2.5""",8 x Full-Height,"522 mm x 304 mm x 531.9 mm, 20.551"" x 11.969"" x 20.941""","84.406 L, 2.981 ft³",
